,model,dataset,accuracy,accuracy,f1,f1,roc_auc,roc_auc,log_loss,log_loss,ks,ks,fold,fold,train_time_s,train_time_s,rmse,rmse,mae,mae,r2,r2,f1_macro,f1_macro,f1_weighted,f1_weighted,roc_auc_ovr,roc_auc_ovr
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
54,lightgbm,adult,0.873339520040559,0.0045935061127327015,0.7115148992623614,0.011142800570956277,0.9300032928040473,0.0026916217140057013,0.27373298582081396,0.005464614330057269,0.6961147514817182,0.006772750229118768,2.0,1.5811388300841898,0.6505716086016037,0.06521011919401866,,,,,,,,,,,,
55,lightgbm,amazon_employee,0.9475872592027464,0.0017344943802234316,0.9727840521569988,0.0008313856683737118,0.8464733981062462,0.010559781020707494,0.1600936111869613,0.003418414367228772,0.5686410076180697,0.011036040378676016,2.0,1.5811388300841898,0.24309551143087446,0.07852519732394776,,,,,,,,,,,,
56,lightgbm,bank_marketing,0.8968970590320735,0.012564790230300814,0.28948959248803874,0.26118251605774706,0.9341783060230127,0.003872519091341386,0.23588684035304577,0.04670707632907135,0.743693657534954,0.020838421119985,2.0,1.5811388300841898,1.0928706894163043,0.8483053907877548,,,,,,,,,,,,
57,lightgbm,california_housing,,,,,,,,,,,2.0,1.5811388300841898,0.46688539880269675,0.07658275415856147,0.2638165128816157,0.004710321942201122,0.15817780568347534,0.003753037773787471,0.7214742188423869,0.009962678098687032,,,,,,
58,lightgbm,cardiovascular_disease,0.737,0.0038731891753121246,0.724877923221728,0.00568835751349406,0.8041257682503703,0.002691381336626566,0.5379804661482563,0.002897583819679341,0.47601051074979817,0.006924885920056795,2.0,1.5811388300841898,0.4491507743994589,0.09614421442485663,,,,,,,,,,,,
59,lightgbm,covertype,0.9183125000000001,0.0013132438368406248,,,,,0.22074683649002025,0.006286776937645924,,,2.0,1.5811388300841898,8.68576267940016,0.17635239670596964,,,,,,,0.8574674878117543,0.0038156220915568128,0.9175644435371643,0.0012661678753110735,0.9852031524203502,0.000813780443265073
60,lightgbm,credit_g,0.7525000000000001,0.04432655806624287,0.8344363421675703,0.030388766227928514,0.7955171130952381,0.05613275612992595,0.5234111666018676,0.08684990552859596,0.4946428571428571,0.11787743331831704,2.0,1.5811388300841898,0.009811018174514175,0.004810582050144014,,,,,,,,,,,,
61,lightgbm,give_me_some_credit,0.9374375,0.0006281172263201039,0.2571293618919657,0.015001567586095018,0.8648867763772332,0.005329362582999438,0.17823567622522757,0.0023453062668748583,0.5754347733293288,0.011957072055824572,2.0,1.5811388300841898,0.17518281964585186,0.019948216457289874,,,,,,,,,,,,
62,lightgbm,helena,0.37380178677820297,0.004172372450048058,,,,,2.6169632812553485,0.014677299965627215,,,2.0,1.5811388300841898,52.781442548427734,1.221936230212455,,,,,,,0.22689621269761817,0.0063948061021208095,0.34617468652110034,0.004356577878939852,0.8989124880755031,0.002053497500793695
63,lightgbm,higgs,0.7310683324834268,0.003667299812249414,0.7470757573386153,0.0035541973106559947,0.8115042358026512,0.0023298961688752143,0.525707322436407,0.002622578303788248,0.46217069133946864,0.007888341635222649,2.0,1.5811388300841898,3.7082860715920107,0.8310893843139653,,,,,,,,,,,,
64,lightgbm,jannis,0.7242258976931948,0.0030220029498093264,,,,,0.6799840053674606,0.004974972064739283,,,2.0,1.5811388300841898,6.3485048657981675,0.4004643299144955,,,,,,,0.5529869646836647,0.0063010937056096296,0.7185636037669948,0.00285548597635301,0.8776513006329285,0.00253027054533482
65,lightgbm,kin8nm,,,,,,,,,,,2.0,1.5811388300841898,0.6256017861887813,0.1646028971698616,0.10661315013749453,0.002618098266936571,0.08299506125877903,0.0023050281774426263,0.8360717516668382,0.006370160851198479,,,,,,
66,lightgbm,magictelescope,0.8627102803738318,0.00808964750257207,0.8582001282640036,0.007292477046698157,0.933362215040615,0.0037857806255084895,0.3229688599376216,0.007651671862388749,0.7297196261682244,0.014574645749247056,2.0,1.5811388300841898,0.2355535907903686,0.10395373627549277,,,,,,,,,,,,
67,lightgbm,phoneme,0.9049256047955471,0.0033664304381719337,0.8383758195237961,0.004212647433440492,0.961946210705278,0.006137327094476506,0.30177411547014066,0.032046533456300645,0.8026568730670238,0.01623497005572432,2.0,1.5811388300841898,0.14326824301388114,0.04906677416519547,,,,,,,,,,,,
68,lightgbm,superconduct,,,,,,,,,,,2.0,1.5811388300841898,2.5955844502081162,0.4013122611404217,0.839174738272059,0.009985353536034226,0.617925906311698,0.005606736777076579,0.18672180814709233,0.011070648241158812,,,,,,
69,lightgbm,telco_customer_churn,0.8022728096567224,0.01438015559731832,0.5910417668131941,0.014326613676144887,0.8481259144799786,0.011852402577697282,0.4160059624084497,0.014165150848877657,0.5476880928276755,0.0183729567543069,2.0,1.5811388300841898,0.07896178800147027,0.04151738720660734,,,,,,,,,,,,
