dataset,teacher,student,target,seed,n_train,n_test,rmse,mae,crps,picp80,picp90,width80,width90,retention_rmse,fit_time_s
california_housing,tabfm,xgb_point,mixed,0,16507,4127,0.256981,0.153848,,,,,,0.2167,1.29
california_housing,tabfm,xgb_quant,hard,0,16507,4127,0.279514,0.149191,0.180597,0.8803,0.92852,0.771308,0.848954,-0.5086,27.84
california_housing,tabfm,xgb_point,hard,1,16507,4127,0.260515,0.157076,,,,,,0.103,1.17
california_housing,tabfm,xgb_point,soft,1,16507,4127,0.258814,0.156309,,,,,,0.1577,1.3
california_housing,tabfm,xgb_point,mixed,1,16507,4127,0.257129,0.154654,,,,,,0.2119,1.31
california_housing,tabfm,xgb_quant,hard,1,16507,4127,0.280113,0.150051,0.179789,0.884662,0.933608,0.771355,0.833736,-0.5279,27.59
california_housing,tabfm,xgb_point,hard,2,16507,4127,0.260321,0.157225,,,,,,0.1092,1.2
california_housing,tabfm,xgb_point,soft,2,16507,4127,0.25859,0.155836,,,,,,0.1649,1.33
california_housing,tabfm,xgb_point,mixed,2,16507,4127,0.257115,0.15464,,,,,,0.2124,1.31
california_housing,tabfm,xgb_quant,hard,2,16507,4127,0.279966,0.149208,0.180114,0.884904,0.926339,0.776761,0.83991,-0.5231,27.86
superconduct,tabfm,xgb_point,hard,0,31715,7929,0.829691,0.616399,,,,,,0.2474,1.41
superconduct,tabfm,xgb_point,soft,0,31715,7929,0.831895,0.618544,,,,,,-0.2329,1.53
superconduct,tabfm,xgb_point,mixed,0,31715,7929,0.830286,0.617187,,,,,,0.1178,1.51
superconduct,tabfm,xgb_quant,hard,0,31715,7929,0.851255,0.599733,0.455415,0.743473,0.84954,1.726085,2.286327,-4.4516,45.48
superconduct,tabfm,xgb_point,hard,1,31715,7929,0.829421,0.61613,,,,,,0.3062,1.4
superconduct,tabfm,xgb_point,soft,1,31715,7929,0.831988,0.618646,,,,,,-0.2531,1.53
superconduct,tabfm,xgb_point,mixed,1,31715,7929,0.829822,0.616977,,,,,,0.2187,1.51
superconduct,tabfm,xgb_quant,hard,1,31715,7929,0.85101,0.599676,0.455359,0.744987,0.851179,1.725752,2.293947,-4.3982,45.23
superconduct,tabfm,xgb_point,hard,2,31715,7929,0.83051,0.617074,,,,,,0.0689,1.93
superconduct,tabfm,xgb_point,soft,2,31715,7929,0.832047,0.618802,,,,,,-0.2661,1.5
superconduct,tabfm,xgb_point,mixed,2,31715,7929,0.830428,0.617426,,,,,,0.0868,1.49
superconduct,tabfm,xgb_quant,hard,2,31715,7929,0.851171,0.599664,0.455576,0.7465,0.849035,1.725695,2.284761,-4.4334,45.52
kin8nm,tabfm,xgb_point,hard,0,6553,1639,0.109155,0.083043,,,,,,0.0546,1.1
kin8nm,tabfm,xgb_point,soft,0,6553,1639,0.109458,0.083249,,,,,,0.0481,1.04
kin8nm,tabfm,xgb_point,mixed,0,6553,1639,0.109336,0.083069,,,,,,0.0507,1.04
kin8nm,tabfm,xgb_quant,hard,0,6553,1639,0.110221,0.084025,0.068122,0.5241,0.649176,0.193148,0.280349,0.0318,24.79
kin8nm,tabfm,xgb_point,hard,1,6553,1639,0.108952,0.0831,,,,,,0.0589,1.1
kin8nm,tabfm,xgb_point,soft,1,6553,1639,0.110477,0.083464,,,,,,0.0264,1.04
kin8nm,tabfm,xgb_point,mixed,1,6553,1639,0.109852,0.083001,,,,,,0.0397,1.04
kin8nm,tabfm,xgb_quant,hard,1,6553,1639,0.110031,0.083921,0.068209,0.519829,0.654667,0.191394,0.287686,0.0359,24.79
kin8nm,tabfm,xgb_point,hard,2,6553,1639,0.109176,0.082973,,,,,,0.0541,1.09
kin8nm,tabfm,xgb_point,soft,2,6553,1639,0.109272,0.082922,,,,,,0.0521,1.02
kin8nm,tabfm,xgb_point,mixed,2,6553,1639,0.109193,0.082586,,,,,,0.0538,1.02
kin8nm,tabfm,xgb_quant,hard,2,6553,1639,0.110022,0.083812,0.068381,0.52593,0.650397,0.193159,0.282909,0.0361,24.9
year_prediction,tabfm,xgb_point,hard,0,80000,20000,8.672737,6.057756,,,,,,0.0288,62.94
year_prediction,tabfm,xgb_point,soft,0,80000,20000,8.776528,6.04776,,,,,,-0.3787,66.6
year_prediction,tabfm,xgb_point,mixed,0,80000,20000,8.73865,6.034217,,,,,,-0.23,65.83
year_prediction,tabfm,xgb_quant,hard,0,80000,20000,9.246438,5.998248,4.557298,0.7108,0.82065,16.449116,21.806032,-2.2236,903.79
year_prediction,tabfm,xgb_point,hard,1,80000,20000,8.672043,6.060191,,,,,,0.0315,63.31
year_prediction,tabfm,xgb_point,soft,1,80000,20000,8.781183,6.050298,,,,,,-0.397,66.51
year_prediction,tabfm,xgb_point,mixed,1,80000,20000,8.734232,6.032314,,,,,,-0.2127,65.14
year_prediction,tabfm,xgb_quant,hard,1,80000,20000,9.24199,5.999825,4.556817,0.7121,0.82145,16.438797,21.885832,-2.2061,901.87
year_prediction,tabfm,xgb_point,hard,2,80000,20000,8.663699,6.060361,,,,,,0.0643,62.99
year_prediction,tabfm,xgb_point,soft,2,80000,20000,8.778884,6.050163,,,,,,-0.388,67.62
year_prediction,tabfm,xgb_point,mixed,2,80000,20000,8.735589,6.033865,,,,,,-0.218,65.33
year_prediction,tabfm,xgb_quant,hard,2,80000,20000,9.265154,6.002094,4.558746,0.71265,0.8197,16.479593,21.802895,-2.2971,907.4
