dataset,task_type,model,family,train_size,n_train,n_val,n_test,seed,fit_time_s,roc_auc,ks,log_loss,accuracy,rmse,mae,r2
give_me_some_credit,binary,tabm,deep_learning,8000,7200,800,20000,2,5.953,0.807202,0.480403,0.196291,0.9339,,,
give_me_some_credit,binary,tabm,deep_learning,16000,14400,1600,20000,0,11.573,0.820031,0.5035,0.192335,0.935,,,
give_me_some_credit,binary,tabm,deep_learning,16000,14400,1600,20000,1,20.046,0.820192,0.501711,0.192554,0.9351,,,
give_me_some_credit,binary,tabm,deep_learning,16000,14400,1600,20000,2,11.338,0.81851,0.500802,0.192833,0.9354,,,
give_me_some_credit,binary,tabm,deep_learning,32000,28800,3200,20000,0,18.676,0.823182,0.505841,0.19162,0.9353,,,
give_me_some_credit,binary,tabm,deep_learning,32000,28800,3200,20000,1,33.807,0.821607,0.504771,0.191723,0.93535,,,
give_me_some_credit,binary,tabm,deep_learning,32000,28800,3200,20000,2,19.341,0.82346,0.506656,0.191578,0.93515,,,
give_me_some_credit,binary,tabm,deep_learning,64000,57600,6400,20000,0,42.272,0.826316,0.506794,0.191074,0.9346,,,
give_me_some_credit,binary,tabm,deep_learning,64000,57600,6400,20000,1,56.73,0.826946,0.507656,0.190403,0.9354,,,
give_me_some_credit,binary,tabm,deep_learning,64000,57600,6400,20000,2,56.016,0.827323,0.50803,0.190731,0.93565,,,
give_me_some_credit,binary,tabm,deep_learning,80000,72000,8000,20000,0,80.573,0.826935,0.511383,0.190515,0.9355,,,
give_me_some_credit,binary,tabm,deep_learning,80000,72000,8000,20000,1,73.154,0.827613,0.510489,0.190222,0.93545,,,
give_me_some_credit,binary,tabm,deep_learning,80000,72000,8000,20000,2,55.402,0.826822,0.509544,0.19032,0.9353,,,
give_me_some_credit,binary,realmlp,deep_learning,500,450,50,20000,0,1.251,0.790829,0.480929,0.226842,0.9325,,,
give_me_some_credit,binary,realmlp,deep_learning,500,450,50,20000,1,0.917,0.629021,0.233432,0.651304,0.9268,,,
give_me_some_credit,binary,realmlp,deep_learning,500,450,50,20000,2,0.94,0.694143,0.306058,0.588525,0.9128,,,
give_me_some_credit,binary,realmlp,deep_learning,1000,900,100,20000,0,1.931,0.743086,0.378783,0.46743,0.92325,,,
give_me_some_credit,binary,realmlp,deep_learning,1000,900,100,20000,1,0.498,0.716951,0.368849,0.297571,0.9242,,,
give_me_some_credit,binary,realmlp,deep_learning,1000,900,100,20000,2,1.922,0.695655,0.321661,0.648535,0.9138,,,
give_me_some_credit,binary,realmlp,deep_learning,2000,1800,200,20000,0,2.605,0.776279,0.431768,0.249018,0.92615,,,
give_me_some_credit,binary,realmlp,deep_learning,2000,1800,200,20000,1,0.685,0.539441,0.065533,0.319751,0.9074,,,
give_me_some_credit,binary,realmlp,deep_learning,2000,1800,200,20000,2,2.535,0.807008,0.472148,0.21861,0.9344,,,
give_me_some_credit,binary,realmlp,deep_learning,4000,3600,400,20000,0,1.765,0.822025,0.485952,0.206559,0.9345,,,
give_me_some_credit,binary,realmlp,deep_learning,4000,3600,400,20000,1,6.148,0.758118,0.392139,0.309972,0.93035,,,
give_me_some_credit,binary,realmlp,deep_learning,4000,3600,400,20000,2,3.284,0.839942,0.523336,0.188982,0.93565,,,
give_me_some_credit,binary,realmlp,deep_learning,8000,7200,800,20000,0,11.909,0.799198,0.47956,0.224886,0.93095,,,
give_me_some_credit,binary,realmlp,deep_learning,8000,7200,800,20000,1,6.097,0.848069,0.538293,0.188134,0.9347,,,
give_me_some_credit,binary,realmlp,deep_learning,8000,7200,800,20000,2,7.596,0.821421,0.513342,0.198588,0.9338,,,
give_me_some_credit,binary,realmlp,deep_learning,16000,14400,1600,20000,0,17.796,0.83847,0.526784,0.194972,0.93485,,,
give_me_some_credit,binary,realmlp,deep_learning,16000,14400,1600,20000,1,13.731,0.85406,0.552972,0.18863,0.9372,,,
give_me_some_credit,binary,realmlp,deep_learning,16000,14400,1600,20000,2,27.538,0.800752,0.477705,0.212829,0.93435,,,
give_me_some_credit,binary,realmlp,deep_learning,32000,28800,3200,20000,0,56.949,0.842299,0.550665,0.18969,0.9358,,,
give_me_some_credit,binary,realmlp,deep_learning,32000,28800,3200,20000,1,41.037,0.860001,0.563809,0.189808,0.9364,,,
give_me_some_credit,binary,realmlp,deep_learning,32000,28800,3200,20000,2,20.855,0.861161,0.562149,0.18106,0.93655,,,
give_me_some_credit,binary,realmlp,deep_learning,64000,57600,6400,20000,0,23.146,0.857211,0.550503,0.186426,0.93615,,,
give_me_some_credit,binary,realmlp,deep_learning,64000,57600,6400,20000,1,111.288,0.86112,0.560726,0.179915,0.93655,,,
give_me_some_credit,binary,realmlp,deep_learning,64000,57600,6400,20000,2,110.865,0.857378,0.55138,0.181058,0.9359,,,
give_me_some_credit,binary,realmlp,deep_learning,80000,72000,8000,20000,0,51.009,0.861458,0.560201,0.182149,0.9358,,,
give_me_some_credit,binary,realmlp,deep_learning,80000,72000,8000,20000,1,62.276,0.861746,0.559129,0.182218,0.93595,,,
give_me_some_credit,binary,realmlp,deep_learning,80000,72000,8000,20000,2,35.898,0.861549,0.5554,0.182459,0.9358,,,
give_me_some_credit,binary,ft_transformer,deep_learning,500,450,50,20000,0,0.448,0.783595,0.482329,0.21803,0.933,,,
give_me_some_credit,binary,ft_transformer,deep_learning,500,450,50,20000,1,0.974,0.695134,0.360433,0.238103,0.92905,,,
give_me_some_credit,binary,ft_transformer,deep_learning,500,450,50,20000,2,0.591,0.688559,0.27748,0.23584,0.933,,,
give_me_some_credit,binary,ft_transformer,deep_learning,1000,900,100,20000,0,0.943,0.778077,0.423482,0.209859,0.93375,,,
give_me_some_credit,binary,ft_transformer,deep_learning,1000,900,100,20000,1,1.402,0.779825,0.437591,0.209399,0.92745,,,
give_me_some_credit,binary,ft_transformer,deep_learning,1000,900,100,20000,2,2.025,0.805429,0.495379,0.205676,0.9309,,,
give_me_some_credit,binary,ft_transformer,deep_learning,2000,1800,200,20000,0,4.657,0.792234,0.464243,0.209088,0.93005,,,
give_me_some_credit,binary,ft_transformer,deep_learning,2000,1800,200,20000,1,2.398,0.799459,0.476564,0.200855,0.92915,,,
give_me_some_credit,binary,ft_transformer,deep_learning,2000,1800,200,20000,2,2.802,0.817287,0.501351,0.19589,0.93435,,,
give_me_some_credit,binary,ft_transformer,deep_learning,4000,3600,400,20000,0,5.76,0.817842,0.505684,0.19712,0.93445,,,
give_me_some_credit,binary,ft_transformer,deep_learning,4000,3600,400,20000,1,3.115,0.814856,0.490695,0.199361,0.9346,,,
give_me_some_credit,binary,ft_transformer,deep_learning,4000,3600,400,20000,2,4.252,0.817274,0.497991,0.195901,0.93315,,,
give_me_some_credit,binary,ft_transformer,deep_learning,8000,7200,800,20000,0,8.773,0.820398,0.49789,0.196629,0.93485,,,
